timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
2021/10/24 12:22:43, 17.91, 50.00, 1007.83, 3.15, 323, 
2021/10/24 12:22:44, 17.93, 49.97, 1007.82, 2.71, 319, 
2021/10/24 12:22:45, 17.93, 49.95, 1007.78, 2.71, 308, 
2021/10/24 12:22:46, 17.93, 49.96, 1007.77, 2.27, 308, 
2021/10/24 12:22:47, 17.92, 49.95, 1007.71, 2.27, 306, 
2021/10/24 12:22:48, 17.96, 49.97, 1007.75, 2.27, 304, 
2021/10/24 12:22:49, 17.97, 49.97, 1007.78, 2.27, 306, 
2021/10/24 12:22:50, 17.98, 49.97, 1007.75, 2.49, 304, 
2021/10/24 12:22:51, 17.98, 49.97, 1007.76, 2.27, 305, 
2021/10/24 12:22:52, 17.95, 49.97, 1007.67, 1.83, 306, 
2021/10/24 12:22:53, 18.00, 49.97, 1007.75, 2.05, 305, 
2021/10/24 12:22:54, 18.02, 49.99, 1007.78, 2.05, 306, 
2021/10/24 12:22:55, 18.03, 50.03, 1007.77, 2.27, 303, 
2021/10/24 12:22:56, 18.03, 50.00, 1007.79, 1.83, 305, 
2021/10/24 12:22:57, 17.88, 50.03, 1007.51, 2.27, 323, 
2021/10/24 12:22:58, 18.01, 50.03, 1007.76, 3.37, 329, 
2021/10/24 12:22:59, 18.02, 49.92, 1007.78, 3.37, 329, 
2021/10/24 12:23:0, 17.98, 49.83, 1007.71, 3.37, 330, 
2021/10/24 12:23:1, 17.99, 49.80, 1007.74, 3.37, 328, 
2021/10/24 12:23:2, 17.96, 49.80, 1007.69, 2.93, 329, 
2021/10/24 12:23:3, 17.99, 49.80, 1007.76, 2.93, 329, 
2021/10/24 12:23:4, 17.99, 49.83, 1007.75, 2.71, 328, 
2021/10/24 12:23:5, 17.97, 49.92, 1007.77, 2.05, 330, 
2021/10/24 12:23:6, 17.96, 49.95, 1007.77, 1.83, 332, 
2021/10/24 12:23:7, 17.90, 49.97, 1007.64, 1.61, 332, 
2021/10/24 12:23:8, 17.95, 50.02, 1007.79, 1.83, 331, 
2021/10/24 12:23:9, 17.93, 50.07, 1007.77, 2.71, 331, 
2021/10/24 12:23:10, 17.92, 50.09, 1007.80, 2.49, 332, 
2021/10/24 12:23:11, 17.92, 50.08, 1007.80, 2.27, 331, 
2021/10/24 12:23:12, 17.83, 50.08, 1007.64, 2.27, 331, 
2021/10/24 12:23:13, 17.92, 50.09, 1007.81, 2.27, 332, 
2021/10/24 12:23:14, 17.92, 50.11, 1007.76, 2.05, 329, 
2021/10/24 12:23:15, 17.93, 50.15, 1007.80, 2.05, 330, 
2021/10/24 12:23:16, 17.93, 50.17, 1007.76, 1.83, 333, 
2021/10/24 12:23:17, 17.93, 50.34, 1007.76, 3.15, 326, 
2021/10/24 12:23:18, 17.93, 50.36, 1007.76, 3.37, 329, 
2021/10/24 12:23:19, 17.92, 50.29, 1007.77, 3.59, 333, 
2021/10/24 12:23:20, 17.93, 50.19, 1007.77, 3.81, 332, 
2021/10/24 12:23:21, 17.92, 50.19, 1007.81, 3.59, 344, 
2021/10/24 12:23:22, 17.87, 50.17, 1007.72, 4.47, 346, 
2021/10/24 12:23:23, 17.90, 50.20, 1007.77, 4.25, 346, 
2021/10/24 12:23:24, 17.88, 50.25, 1007.75, 3.81, 347, 
2021/10/24 12:23:25, 17.87, 50.31, 1007.78, 3.81, 346, 
2021/10/24 12:23:26, 17.88, 50.33, 1007.78, 3.81, 347, 
2021/10/24 12:23:27, 17.83, 50.37, 1007.74, 3.37, 346, 
2021/10/24 12:23:28, 17.87, 50.42, 1007.80, 3.15, 346, 
2021/10/24 12:23:29, 17.81, 50.42, 1007.70, 2.71, 342, 
2021/10/24 12:23:30, 17.86, 50.53, 1007.79, 2.49, 341, 
2021/10/24 12:23:31, 17.85, 50.54, 1007.78, 2.71, 345, 
2021/10/24 12:23:32, 17.78, 50.56, 1007.68, 2.93, 347, 
2021/10/24 12:23:33, 17.84, 50.53, 1007.78, 2.71, 345, 
2021/10/24 12:23:34, 17.83, 50.53, 1007.80, 2.71, 345, 
2021/10/24 12:23:35, 17.84, 50.53, 1007.79, 2.27, 345, 
2021/10/24 12:23:36, 17.83, 50.56, 1007.81, 2.05, 345, 
2021/10/24 12:23:37, 17.74, 50.61, 1007.61, 2.27, 345, 
2021/10/24 12:23:38, 17.83, 50.64, 1007.80, 2.27, 345, 
2021/10/24 12:23:39, 17.82, 50.55, 1007.79, 1.83, 346, 
2021/10/24 12:23:40, 17.82, 50.47, 1007.82, 1.61, 345, 
2021/10/24 12:23:41, 17.81, 50.52, 1007.77, 1.61, 345, 
2021/10/24 12:23:42, 17.80, 50.54, 1007.73, 1.39, 346, 
2021/10/24 12:23:43, 17.82, 50.54, 1007.81, 1.17, 344, 
2021/10/24 12:23:44, 17.83, 50.54, 1007.80, 1.17, 342, 
2021/10/24 12:23:45, 17.84, 50.57, 1007.79, 1.17, 343, 
2021/10/24 12:23:46, 17.83, 50.63, 1007.80, 1.17, 341, 
2021/10/24 12:23:47, 17.83, 50.65, 1007.76, 0.95, 340, 
2021/10/24 12:23:55, 17.90, 50.89, 1007.78, 0.51, 315, 
2021/10/24 12:23:56, 17.92, 50.91, 1007.77, 0.51, 314, 
2021/10/24 12:23:57, 17.90, 50.95, 1007.74, 0.51, 314, 
2021/10/24 12:23:58, 17.93, 50.99, 1007.77, 0.51, 310, 
2021/10/24 12:23:59, 17.95, 51.03, 1007.77, 0.51, 302, 
2021/10/24 12:24:0, 17.96, 51.01, 1007.77, 0.73, 294, 
2021/10/24 12:24:1, 17.97, 50.93, 1007.77, 0.73, 288, 
2021/10/24 12:24:2, 17.95, 50.91, 1007.72, 0.95, 288, 
2021/10/24 12:24:3, 17.98, 50.97, 1007.74, 0.73, 287, 
2021/10/24 12:24:11, 18.02, 50.84, 1007.75, 1.17, 277, 
2021/10/24 12:24:20, 18.09, 50.83, 1007.75, 0.51, 273, 
2021/10/24 12:24:21, 18.10, 50.84, 1007.78, 0.51, 274, 
2021/10/24 12:24:22, 18.10, 50.83, 1007.76, 0.51, 279, 
2021/10/24 12:24:23, 18.10, 50.75, 1007.75, 0.51, 318, 
2021/10/24 12:24:24, 18.11, 50.71, 1007.75, 0.73, 321, 
2021/10/24 12:24:25, 18.12, 50.69, 1007.75, 1.83, 322, 
2021/10/24 12:24:26, 18.13, 50.67, 1007.76, 2.27, 321, 
2021/10/24 12:24:27, 18.13, 50.64, 1007.76, 2.71, 321, 
2021/10/24 12:24:28, 18.14, 50.59, 1007.75, 2.93, 320, 
2021/10/24 12:24:29, 18.14, 50.58, 1007.74, 2.93, 321, 
2021/10/24 12:24:30, 18.14, 50.57, 1007.76, 2.71, 320, 
2021/10/24 12:24:31, 18.15, 50.56, 1007.77, 2.49, 321, 
2021/10/24 12:24:32, 18.14, 50.54, 1007.75, 2.71, 321, 
2021/10/24 12:24:33, 18.16, 50.52, 1007.80, 2.49, 323, 
2021/10/24 12:24:34, 18.16, 50.50, 1007.76, 2.71, 325, 
2021/10/24 12:24:35, 18.16, 50.46, 1007.73, 2.71, 323, 
2021/10/24 12:24:36, 18.18, 50.37, 1007.79, 2.49, 317, 
2021/10/24 12:24:37, 18.17, 50.35, 1007.77, 2.27, 318, 
2021/10/24 12:24:38, 18.18, 50.35, 1007.78, 2.27, 317, 
2021/10/24 12:24:39, 18.18, 50.29, 1007.75, 1.83, 317, 
2021/10/24 12:24:40, 18.19, 50.23, 1007.80, 1.83, 317, 
2021/10/24 12:24:41, 18.20, 50.16, 1007.79, 2.05, 317, 
2021/10/24 12:24:42, 18.20, 50.09, 1007.77, 2.05, 318, 
2021/10/24 12:24:43, 18.20, 50.06, 1007.75, 1.83, 318, 
2021/10/24 12:24:44, 18.20, 50.08, 1007.75, 1.61, 318, 
2021/10/24 12:24:45, 18.20, 50.11, 1007.76, 1.39, 317, 
2021/10/24 12:24:46, 18.22, 50.12, 1007.79, 1.61, 313, 
2021/10/24 12:24:55, 18.20, 49.63, 1007.79, 3.37, 300, 
timeStamp, Temperature, Pressure, Humidity, Wind_Speed, Wind_Direction 
2021/10/24 12:29:16, 17.51, 52.14, 1007.75, 1.83, 282, 
2021/10/24 12:29:17, 17.53, 52.18, 1007.74, 1.61, 282, 
2021/10/24 12:29:18, 17.54, 52.15, 1007.76, 1.61, 283, 
2021/10/24 12:29:19, 17.54, 52.09, 1007.74, 1.17, 282, 
2021/10/24 12:29:20, 17.55, 52.05, 1007.78, 1.17, 284, 
2021/10/24 12:29:21, 17.54, 52.00, 1007.74, 1.17, 281, 
2021/10/24 12:29:22, 17.55, 52.00, 1007.75, 1.17, 284, 
2021/10/24 12:29:23, 17.56, 52.02, 1007.76, 0.95, 281, 
2021/10/24 12:29:24, 17.56, 52.04, 1007.75, 0.73, 282, 
2021/10/24 12:29:25, 17.56, 52.01, 1007.73, 0.73, 282, 
2021/10/24 12:29:26, 17.57, 51.97, 1007.75, 0.51, 282, 
2021/10/24 12:29:27, 17.57, 51.96, 1007.77, 0.51, 282, 
2021/10/24 12:29:28, 17.56, 51.96, 1007.73, 0.51, 282, 
2021/10/24 12:29:29, 17.57, 51.94, 1007.75, 0.51, 282, 
2021/10/24 12:29:30, 17.57, 51.93, 1007.75, 0.29, 281, 
2021/10/24 12:29:31, 17.59, 51.93, 1007.78, 0.29, 281, 
2021/10/24 12:29:32, 17.58, 51.92, 1007.72, 0.07, 281, 
2021/10/24 12:29:33, 17.58, 51.94, 1007.74, 0.07, 281, 
2021/10/24 12:29:34, 17.59, 52.00, 1007.72, 0.07, 282, 
2021/10/24 12:29:35, 17.60, 52.04, 1007.74, 0.07, 280, 
